what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363102284956
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363102285081
started,bundle,org.codehaus.groovy.eclipse.quickfix,2.6.0.xx-20111212-0900-e37-RELEASE,"org.codehaus.groovy.eclipse.quickfix",1363102285200
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1363102285204
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1363102285278
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1363102285626
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363102294229
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363102303430
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363102307635
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363102308888
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1363102308912
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201109151620,"org.eclipse.cdt.debug.core",1363102313453
started,bundle,org.eclipse.cdt.debug.ui,7.1.1.201109151620,"org.eclipse.cdt.debug.ui",1363102313458
started,bundle,com.google.gdt.eclipse.suite,2.5.1.v201201120043-rel-r37,"com.google.gdt.eclipse.suite",1363102313711
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1363102320139
error,log,,,"No IModelProvider exists for project P/manycell-web of version: Dynamic Web Module 3.0",1363102320190
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1363102320191
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/manycell-web",1363102320191
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363102331258
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363102331353
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1363102331487
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363102340319
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1363102343429
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1363102365687
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1363102365706
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1363102373641
error,log,,,"No IModelProvider exists for project P/manycell-web of version: Dynamic Web Module 3.0",1363102373699
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1363102373699
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/manycell-web",1363102373700
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363102388504
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363102414390
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363102499630
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1363102550001
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363102556087
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363102610949
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363102642110
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363102662139
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363102663405
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1363102663418
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1363102671497
error,log,,,"No IModelProvider exists for project P/manycell-web of version: Dynamic Web Module 3.0",1363102671537
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1363102671537
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/manycell-web",1363102671537
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363102674949
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363102679751
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363102682775
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363102683998
error,log,,,"No IModelProvider exists for project P/manycell-web of version: Dynamic Web Module 3.0",1363102684161
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1363102684162
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/manycell-web",1363102684162
error,log,,,"No IModelProvider exists for project P/manycell-web of version: Dynamic Web Module 3.0",1363102684165
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1363102684165
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/manycell-web",1363102684166
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1363102684230
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1363102694201
error,log,,,"No IModelProvider exists for project P/manycell-web of version: Dynamic Web Module 3.0",1363102694248
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1363102694249
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/manycell-web",1363102694249
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAutomatically",1363102699084
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildProject",1363102702768
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.AllMarkersView",1363102706848
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1363102719962
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363102729295
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363102736198
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363102745533
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363102746664
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1363102746700
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363102753095
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363102759846
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363102778742
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1363103088918
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1363103092337
started,bundle,com.google.gdt.eclipse.maven,2.5.1.v201201120043-rel-r37,"com.google.gdt.eclipse.maven",1363103092520
error,log,,,"No IModelProvider exists for project P/manycell-web of version: Dynamic Web Module 3.0",1363103092836
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1363103092837
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/manycell-web",1363103092837
error,log,,,"No IModelProvider exists for project P/manycell-web of version: Dynamic Web Module 3.0",1363103092872
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1363103092872
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/manycell-web",1363103092873
error,log,,,"No IModelProvider exists for project P/manycell-web of version: Dynamic Web Module 3.0",1363103092908
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1363103092908
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/manycell-web",1363103092909
error,log,,,"No IModelProvider exists for project P/manycell-web of version: Dynamic Web Module 3.0",1363103093000
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1363103093000
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/manycell-web",1363103093001
error,log,,,"No IModelProvider exists for project P/manycell-web of version: Dynamic Web Module 3.0",1363103093002
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1363103093003
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/manycell-web",1363103093003
error,log,,,"No IModelProvider exists for project P/manycell-web of version: Dynamic Web Module 3.0",1363103093039
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1363103093040
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/manycell-web",1363103093040
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1363103097265
error,log,,,"No IModelProvider exists for project P/manycell-web of version: Dynamic Web Module 3.0",1363103097309
